age,income_per_month,monthly_expenses,risk_tolerance,financial_goal,goal_horizon_years,investment_experience,equity_percent,debt_percent,gold_percent,real_estate_percent
59,166867,50920,Low,Wealth Creation,15,Beginner,24.76,59.85,8.35,7.04
31,107498,79440,Low,Retirement,21,Beginner,24.39,67.33,8.28,0.0
22,214027,129133,Medium,Education,6,Beginner,40.39,40.22,8.16,11.22
45,176730,137497,Medium,Education,10,Beginner,46.21,44.57,9.22,0.0
23,23890,16005,Medium,Education,21,Intermediate,64.29,21.75,13.96,0.0
34,225041,110513,Low,House,9,Beginner,12.35,65.89,7.49,14.27
28,126530,52500,Medium,Education,17,Expert,56.36,33.94,9.71,0.0
26,260181,157007,Low,House,4,Beginner,12.11,65.81,8.42,13.65
56,31534,22203,Medium,House,14,Beginner,63.78,24.84,11.39,0.0
36,44300,21819,Medium,Education,15,Intermediate,65.47,25.69,8.84,0.0
49,68984,23263,Low,Education,24,Beginner,23.4,67.16,9.44,0.0
37,184231,69255,High,Retirement,3,Intermediate,80.84,6.14,6.83,6.19
27,290536,117695,Medium,Wealth Creation,12,Beginner,58.79,21.95,9.81,9.46
55,293109,112470,Medium,Retirement,3,Beginner,53.16,24.07,9.21,13.56
46,118806,42551,Medium,Retirement,14,Beginner,60.02,29.98,10.0,0.0
33,273618,132100,Medium,Education,7,Beginner,51.76,32.69,8.86,6.68
59,218286,99312,Medium,Retirement,13,Beginner,50.21,25.51,8.58,15.71
26,263307,104931,Low,Wealth Creation,11,Beginner,18.93,54.63,10.16,16.28
21,148376,111354,Medium,Education,25,Beginner,60.47,32.67,6.86,0.0
28,156602,50728,Medium,Wealth Creation,1,Beginner,38.52,38.19,12.61,10.68
52,88840,66005,Medium,House,20,Beginner,54.6,33.73,11.67,0.0
57,236688,164270,Low,Education,27,Intermediate,23.36,59.95,8.05,8.64
53,277426,134086,Low,Education,26,Expert,27.37,49.56,10.4,12.67
37,188229,124331,Low,House,5,Intermediate,20.35,65.46,8.02,6.17
53,106202,76217,High,House,16,Beginner,76.0,13.1,10.9,0.0
39,54754,24764,Medium,Education,20,Beginner,64.81,23.54,11.64,0.0
59,293255,125480,High,Retirement,11,Expert,71.54,5.46,10.53,12.47
55,167718,97158,Medium,Wealth Creation,16,Beginner,57.9,26.15,9.01,6.93
32,137796,71193,Medium,Wealth Creation,27,Beginner,58.96,28.19,12.86,0.0
36,86690,30506,Medium,Education,24,Expert,53.91,34.63,11.47,0.0
28,287683,212367,Medium,House,25,Intermediate,69.35,21.41,9.24,0.0
38,97505,32120,High,Retirement,3,Intermediate,82.18,8.81,9.01,0.0
53,155059,105388,Medium,Education,8,Beginner,54.84,31.9,7.55,5.71
42,136381,88247,Low,House,13,Expert,21.26,68.49,10.25,0.0
41,156672,87765,Low,Education,16,Expert,20.02,58.2,13.1,8.67
48,102989,67108,Low,Wealth Creation,6,Beginner,20.6,66.63,12.77,0.0
51,144019,108931,Medium,House,29,Intermediate,55.6,35.31,9.1,0.0
38,185656,88441,Medium,House,22,Expert,55.84,26.61,7.05,10.5
42,38070,14430,High,House,27,Beginner,79.51,9.03,11.46,0.0
29,229141,174389,Medium,Education,7,Expert,50.35,39.72,9.93,0.0
45,292791,227625,Low,Education,28,Intermediate,23.01,63.97,13.01,0.0
21,97575,35927,Medium,House,14,Beginner,59.02,32.64,8.34,0.0
48,52097,28750,Low,Wealth Creation,23,Intermediate,27.35,63.03,9.63,0.0
42,75609,53971,Low,Education,22,Intermediate,21.82,65.9,12.28,0.0
57,133632,59597,Medium,House,28,Beginner,57.09,34.21,8.7,0.0
52,231810,109277,High,Wealth Creation,8,Beginner,69.17,17.08,6.59,7.16
37,93847,45368,Low,Retirement,19,Intermediate,25.41,64.66,9.93,0.0
43,240552,172400,Medium,Wealth Creation,21,Beginner,50.9,38.75,10.35,0.0
52,158877,52900,Low,Retirement,16,Intermediate,14.57,64.27,10.59,10.57
25,133429,99666,Low,Wealth Creation,3,Beginner,17.23,71.74,11.04,0.0
49,29435,14018,Low,House,15,Beginner,14.13,73.13,12.74,0.0
32,259833,199254,High,Education,16,Beginner,82.83,8.52,8.65,0.0
57,43049,26983,High,Wealth Creation,5,Beginner,85.54,9.22,5.25,0.0
39,291967,129565,Low,Wealth Creation,5,Expert,18.98,58.38,9.11,13.53
48,239295,132678,Low,Wealth Creation,20,Intermediate,22.21,56.34,11.07,10.38
57,58304,30970,Low,Wealth Creation,10,Intermediate,17.09,72.38,10.53,0.0
22,117532,62381,Medium,Education,18,Expert,67.92,22.19,9.89,0.0
46,227869,134313,Medium,House,19,Intermediate,54.51,21.85,11.38,12.26
49,27543,15849,Medium,Retirement,25,Expert,66.58,24.91,8.51,0.0
29,186807,103337,Medium,Retirement,3,Intermediate,55.54,26.24,6.37,11.85
44,239798,79296,Low,Retirement,5,Intermediate,14.56,68.19,9.33,7.92
50,130448,53531,Medium,Retirement,20,Beginner,63.83,24.39,11.78,0.0
56,215004,137437,Medium,Wealth Creation,19,Beginner,47.92,24.73,12.24,15.11
39,25486,15980,Medium,House,21,Beginner,54.37,34.08,11.54,0.0
41,257027,195432,Medium,Wealth Creation,23,Expert,65.88,21.58,12.55,0.0
59,29348,16134,Low,Wealth Creation,23,Expert,22.34,64.43,13.22,0.0
29,174697,135282,Low,House,12,Beginner,26.77,63.57,9.66,0.0
29,239930,91044,Medium,Education,2,Beginner,40.65,33.3,13.86,12.2
21,258067,169212,Medium,House,7,Intermediate,55.55,32.62,6.4,5.43
59,138874,66951,Low,Education,26,Beginner,21.21,68.12,10.66,0.0
48,285853,209716,High,Education,20,Intermediate,81.94,6.73,11.33,0.0
21,59298,27977,High,Retirement,28,Beginner,83.74,8.64,7.62,0.0
53,262804,193662,Medium,House,26,Intermediate,50.92,40.78,8.3,0.0
41,212714,140353,High,House,5,Expert,71.83,15.82,5.51,6.83
34,279214,136402,High,House,1,Expert,64.33,17.94,11.26,6.46
32,31023,14369,Medium,Education,6,Expert,55.87,36.86,7.27,0.0
48,125787,69657,Medium,Retirement,28,Beginner,49.06,38.14,12.8,0.0
37,186619,138829,Low,Retirement,13,Intermediate,26.67,61.29,12.04,0.0
25,70990,31433,High,Wealth Creation,2,Beginner,62.73,26.84,10.43,0.0
25,21015,16320,High,House,22,Beginner,77.74,15.51,6.75,0.0
41,155230,109249,Low,Wealth Creation,22,Beginner,28.29,63.32,8.39,0.0
55,290846,218709,High,Wealth Creation,21,Expert,72.76,16.18,11.07,0.0
51,160932,98891,Low,Retirement,23,Intermediate,22.69,59.38,10.77,7.16
34,58765,19677,High,Education,19,Expert,80.58,7.58,11.84,0.0
52,112193,69844,Medium,House,8,Beginner,51.99,38.52,9.49,0.0
23,114074,66271,Medium,House,12,Beginner,59.11,33.79,7.1,0.0
37,35254,22046,Low,House,5,Expert,21.58,71.64,6.78,0.0
58,98587,69225,Low,Education,6,Beginner,21.33,69.99,8.67,0.0
54,270875,151652,Medium,House,10,Beginner,48.42,32.98,6.54,12.07
30,145911,58161,Medium,Retirement,2,Beginner,43.62,48.08,8.3,0.0
43,231791,141311,High,Retirement,11,Beginner,71.64,12.64,7.6,8.13
23,234879,172033,Low,House,27,Beginner,28.2,61.61,10.2,0.0
39,77108,44640,Medium,Education,18,Beginner,63.65,26.9,9.45,0.0
21,167979,69170,Low,House,14,Beginner,19.57,62.2,12.03,6.2
42,279127,202569,Medium,Education,29,Expert,51.77,39.51,8.72,0.0
55,238803,71942,High,Education,24,Beginner,72.4,11.32,7.79,8.48
46,286765,222227,Low,House,3,Expert,25.65,65.96,8.39,0.0
38,125977,61126,Medium,Retirement,3,Beginner,60.9,28.07,11.03,0.0
48,241897,73631,High,Wealth Creation,25,Beginner,79.85,5.06,8.59,6.51
33,128099,45990,Medium,Education,3,Expert,58.54,32.7,8.75,0.0
42,230977,82203,Medium,Wealth Creation,8,Beginner,52.63,31.83,7.01,8.52
46,68447,30701,Medium,House,27,Intermediate,63.92,28.12,7.96,0.0
42,136421,42531,Medium,Education,23,Beginner,57.32,34.89,7.79,0.0
50,164990,76943,Medium,Wealth Creation,9,Intermediate,44.27,32.45,7.5,15.77
51,36389,19575,High,Retirement,28,Beginner,84.79,4.23,10.98,0.0
50,295378,142054,Low,Wealth Creation,15,Beginner,21.63,58.46,12.21,7.69
46,84323,51682,Low,Education,20,Beginner,25.39,64.69,9.93,0.0
46,261983,121127,Low,Wealth Creation,5,Expert,16.95,66.14,6.36,10.54
26,262353,144250,Medium,Retirement,5,Beginner,40.95,39.49,6.56,13.0
21,152414,108800,Low,Wealth Creation,9,Expert,23.6,68.28,8.11,0.0
55,62078,26607,High,Education,5,Intermediate,76.48,18.25,5.27,0.0
31,216513,149508,Low,Retirement,3,Expert,11.32,66.75,8.11,13.82
28,277802,141936,High,Wealth Creation,14,Intermediate,74.23,13.03,6.61,6.13
34,145501,64261,Low,Wealth Creation,25,Beginner,28.74,58.75,12.51,0.0
59,180359,93818,Low,Wealth Creation,19,Expert,22.19,57.01,9.58,11.23
37,185088,66772,High,House,23,Beginner,77.63,5.04,7.6,9.73
26,74917,49677,Low,Wealth Creation,7,Beginner,23.12,70.45,6.43,0.0
49,287552,145644,Medium,House,7,Beginner,45.85,35.59,7.81,10.75
47,233942,72518,Medium,Retirement,4,Beginner,49.21,33.75,8.98,8.06
58,174782,81920,Medium,Education,4,Intermediate,49.57,32.36,7.58,10.49
49,34382,13205,High,Wealth Creation,13,Beginner,78.71,11.86,9.44,0.0
56,150330,116414,Medium,Wealth Creation,11,Beginner,66.84,24.81,8.35,0.0
43,96077,53761,Low,Education,12,Expert,32.13,58.61,9.26,0.0
53,208014,154155,Medium,Retirement,28,Expert,64.47,22.42,13.1,0.0
25,80279,62810,Low,Wealth Creation,10,Beginner,24.96,66.54,8.5,0.0
49,195399,127523,Medium,Education,22,Beginner,64.63,20.4,8.26,6.72
56,144085,62481,Medium,Wealth Creation,1,Intermediate,49.27,40.97,9.76,0.0
41,162766,105093,High,Wealth Creation,21,Expert,71.98,14.0,6.41,7.61
45,259690,151416,Low,Wealth Creation,2,Intermediate,12.14,66.96,9.79,11.1
44,238967,117930,Low,Wealth Creation,17,Beginner,26.8,56.11,9.09,8.0
27,66163,39664,Medium,Wealth Creation,17,Beginner,56.58,33.68,9.73,0.0
27,226592,69736,Low,House,13,Beginner,19.56,58.71,12.26,9.47
50,79676,51854,Low,Education,13,Intermediate,19.76,68.85,11.39,0.0
21,84077,63481,Low,House,15,Beginner,23.53,65.23,11.23,0.0
50,206240,114359,High,Wealth Creation,29,Intermediate,66.41,13.32,7.59,12.68
54,203675,143076,Low,Retirement,28,Beginner,26.3,64.13,9.57,0.0
23,96218,37384,High,Education,22,Expert,76.97,11.88,11.15,0.0
48,121358,49982,Low,Wealth Creation,2,Beginner,15.42,76.58,8.0,0.0
36,141300,108748,Low,House,16,Beginner,15.64,70.93,13.43,0.0
41,204466,81418,Low,Retirement,29,Beginner,23.87,53.04,9.86,13.23
25,107955,52364,Medium,Wealth Creation,10,Expert,62.14,29.98,7.89,0.0
40,34596,11182,Medium,House,6,Expert,60.28,29.61,10.11,0.0
55,277529,102321,High,Education,27,Beginner,75.46,12.66,7.55,4.32
34,55367,20643,Medium,House,13,Beginner,62.18,25.79,12.03,0.0
24,258009,202358,Low,House,13,Beginner,24.67,63.09,12.24,0.0
41,208456,94189,Medium,Education,2,Expert,40.5,41.14,10.36,8.0
42,212468,114966,High,House,25,Expert,69.49,12.92,7.41,10.18
27,244137,132293,Medium,House,17,Intermediate,57.11,26.72,10.3,5.87
21,170322,72268,Low,Wealth Creation,4,Expert,23.57,56.14,10.04,10.24
56,242320,97458,Medium,Education,7,Intermediate,46.32,34.59,6.2,12.9
42,140900,64062,Medium,Retirement,26,Intermediate,57.75,29.36,12.89,0.0
37,141789,66594,Low,House,13,Intermediate,17.12,71.04,11.84,0.0
29,297192,144069,High,Retirement,25,Intermediate,75.9,10.97,8.11,5.02
57,106123,72967,High,Wealth Creation,19,Expert,78.46,12.62,8.92,0.0
37,200553,96573,Medium,House,23,Intermediate,55.8,19.68,11.86,12.66
51,202932,72223,High,House,23,Intermediate,69.13,10.36,9.41,11.1
32,97454,54300,Medium,Retirement,13,Beginner,67.15,21.49,11.36,0.0
37,163254,105252,Medium,Retirement,22,Expert,63.37,18.39,10.36,7.88
28,61786,47933,High,Wealth Creation,29,Intermediate,74.97,14.77,10.27,0.0
38,269321,146946,Medium,Retirement,17,Intermediate,56.89,23.97,9.57,9.57
23,154055,66878,Medium,Retirement,23,Intermediate,49.54,25.81,10.57,14.07
45,289708,200736,Medium,Retirement,16,Intermediate,50.43,31.9,8.58,9.09
54,145341,73032,High,Education,13,Expert,74.69,15.43,9.88,0.0
59,36371,23227,Medium,Retirement,17,Beginner,58.96,29.72,11.31,0.0
30,125373,87683,Low,Education,7,Expert,20.39,73.88,5.73,0.0
34,44951,15518,Medium,Education,4,Beginner,58.73,34.37,6.91,0.0
35,186472,60435,High,Education,17,Intermediate,72.14,5.56,10.61,11.69
57,258506,175210,Medium,Wealth Creation,6,Beginner,49.97,31.57,6.71,11.76
54,199352,84067,Low,Education,20,Beginner,14.58,63.08,13.51,8.82
30,81665,41819,High,Education,17,Beginner,77.64,13.13,9.23,0.0
43,96898,47366,Medium,House,17,Beginner,57.11,30.01,12.89,0.0
37,179903,61876,Medium,Education,6,Beginner,49.24,32.81,4.86,13.09
57,261249,96048,Medium,Retirement,9,Expert,55.54,29.57,8.57,6.32
54,114377,63505,Low,Retirement,15,Beginner,25.92,65.25,8.83,0.0
44,53742,20255,High,Education,8,Beginner,85.49,6.21,8.3,0.0
57,154092,87982,Medium,Retirement,5,Intermediate,59.45,21.1,9.36,10.1
23,152663,57101,Medium,Education,2,Expert,37.29,42.95,9.08,10.69
36,39623,14025,High,Education,1,Beginner,76.3,13.03,10.67,0.0
45,177364,139415,Medium,House,27,Beginner,65.25,22.47,12.29,0.0
51,67638,33004,Low,Wealth Creation,10,Intermediate,25.22,61.72,13.06,0.0
38,146209,92707,Low,Wealth Creation,13,Intermediate,26.57,61.87,11.57,0.0
47,148232,79301,Low,Wealth Creation,8,Beginner,16.49,74.37,9.14,0.0
55,152079,116604,Low,Education,19,Beginner,26.14,60.75,13.11,0.0
48,249947,175670,Medium,Education,5,Beginner,47.12,43.42,9.46,0.0
24,278778,207430,High,Education,17,Intermediate,81.39,8.85,9.76,0.0
38,174893,90034,Medium,Retirement,15,Beginner,55.8,26.91,6.54,10.75
27,143786,87199,Low,Education,6,Expert,17.66,75.24,7.1,0.0
43,31745,19168,Low,Education,2,Beginner,19.61,72.25,8.14,0.0
59,219950,107831,Low,Wealth Creation,29,Beginner,24.76,54.03,8.18,13.02
42,72930,49966,Medium,Education,28,Beginner,56.82,32.5,10.67,0.0
40,68901,52866,Medium,Wealth Creation,3,Beginner,56.89,32.5,10.61,0.0
54,199362,86239,High,Education,17,Expert,73.76,8.14,9.73,8.36
28,225390,150587,Low,Retirement,14,Beginner,23.51,53.96,13.08,9.45
44,166323,50422,Medium,Wealth Creation,25,Intermediate,48.75,31.86,11.11,8.28
29,94744,33532,Medium,Retirement,21,Beginner,54.96,35.62,9.42,0.0
33,211184,165826,Low,Education,21,Beginner,16.56,70.68,12.76,0.0
51,177215,59318,Medium,Retirement,13,Intermediate,50.72,29.39,9.65,10.24
44,226376,111320,Low,Wealth Creation,12,Beginner,28.56,49.8,9.94,11.71
40,225735,90151,Medium,Wealth Creation,18,Beginner,54.19,28.93,7.88,9.01
53,239724,184672,Medium,Education,26,Beginner,63.56,24.58,11.86,0.0
35,216713,74091,Medium,Retirement,12,Intermediate,50.54,32.16,11.5,5.8
26,137832,67364,Low,Wealth Creation,9,Expert,21.36,69.77,8.87,0.0
40,44826,15877,High,Wealth Creation,7,Beginner,78.61,13.36,8.03,0.0
42,225209,101224,Medium,Retirement,3,Beginner,48.86,27.87,8.61,14.66
32,161398,49979,Medium,Retirement,13,Beginner,55.73,23.17,9.06,12.05
49,130198,41415,Medium,Wealth Creation,23,Intermediate,61.61,28.65,9.74,0.0
39,282805,87761,Low,Retirement,27,Beginner,25.14,56.21,12.03,6.62
35,79321,24752,High,Retirement,24,Beginner,81.77,9.27,8.95,0.0
40,286847,158153,Medium,Wealth Creation,26,Beginner,53.49,23.87,10.14,12.5
26,299922,132205,Low,Retirement,29,Intermediate,15.54,60.33,10.9,13.23
55,39975,24757,High,Wealth Creation,23,Beginner,81.73,9.12,9.15,0.0
57,84324,29945,Medium,Education,22,Expert,63.96,26.35,9.7,0.0
45,121459,77526,High,Retirement,7,Intermediate,76.72,12.21,11.07,0.0
22,164832,71376,Low,Wealth Creation,12,Beginner,14.27,67.71,10.05,7.98
23,53397,32672,Medium,House,16,Expert,61.16,26.55,12.29,0.0
21,265011,159033,Low,Retirement,12,Beginner,27.02,57.24,9.35,6.4
